var,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se,freq
GDP growth,1,251,0.007414442722076897,0.00894911500194847,0.007620073830710025,0.007688921138855148,0.006509513444591166,-0.026266214327016035,0.038143614141360166,0.0644098284683762,-0.3864976882662023,1.3910635660112955,5.64863130190846e-4,Quarterly
Stock return,1,251,0.025480033155702356,0.0791989918719066,0.03587587569449945,0.031391698591801125,0.06762067815578016,-0.28977605609552726,0.20662301795790086,0.4963990740534281,-0.91747132753757,1.7216541645299035,0.004998996040053585,Quarterly
Long-term Treasury bond return,1,251,0.01568603499335891,0.051392549834840685,0.009679556901421395,0.01343022292918942,0.03935135681623069,-0.1567424193228261,0.21790165756471833,0.3746440768875444,0.6553167848935575,2.0772718362922697,0.003243868981667637,Quarterly
Long-term coorporate bond,1,251,0.016259491641595254,0.04720581242351857,0.013202108743215512,0.014779409900709826,0.03626921585517321,-0.14179582323792314,0.21696306192482737,0.3587588851627505,0.5220419967822779,2.938942322270899,0.0029796044595409663,Quarterly
GDP growth,1,62,0.029806384747358597,0.025442282101289147,0.03042198054910239,0.030665197609721587,0.019737504970083992,-0.04146716147759355,0.08843595267417337,0.12990311415176692,-0.32058521689709063,0.27805982513156025,0.003231173058038395,Annual
Stock return,1,62,0.10361095537936856,0.1567113216806361,0.12681852649535041,0.11078012845313895,0.14967329512983482,-0.3040045150609527,0.47735564947318543,0.7813601645341381,-0.3842712977764608,0.025557936764394995,0.01990235775580849,Annual
Long-term Treasury bond return,1,62,0.0629658705098581,0.09882092499515344,0.05806483677039764,0.05718601376826418,0.08719770370727865,-0.13076106133601018,0.3414816656317443,0.4722427269677545,0.5811978106220294,0.2215446587114287,0.012550270024660786,Annual
Long-term coorporate bond,1,62,0.06555341590682408,0.096320844630497,0.061725047868309124,0.06113105409288798,0.10090928142993438,-0.13280541407097735,0.3526188911804007,0.48542430525137803,0.5807770842443953,0.5157226114127433,0.012232759500838736,Annual
