var,type,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
Bond return,Historical,1,62,0.0629658705098581,0.09882092499515342,0.05806483677039764,0.05718601376826418,0.08719770370727865,-0.13076106133601012,0.34148166563174426,0.4722427269677544,0.5811978106220294,0.2215446587114296,0.012550270024660784
Bond return,Simulated,1,1500,0.03693325900577488,0.040188383762372486,0.035574137481783286,0.03662636619076371,0.039757252947484126,-0.12226991365045914,0.16602357425861136,0.2882934879090705,0.04733826973113561,0.1432658703177312,0.0010376596068177415
GDP growth,Historical,1,62,0.029806384747358604,0.025442282101289147,0.030421980549102383,0.030665197609721594,0.01973750497008396,-0.04146716147759357,0.08843595267417338,0.12990311415176695,-0.32058521689709213,0.2780598251315656,0.003231173058038395
GDP growth,Simulated,1,1500,0.019549512964976725,0.02118563186161045,0.021640501460639006,0.020989529579926048,0.018280171110642892,-0.06206988286616144,0.07255085560324548,0.13462073846940692,-0.6862700145831994,0.7621781318049106,5.4701066252599e-4
Stock return,Historical,1,62,0.10361095537936854,0.15671132168063612,0.12681852649535047,0.11078012845313895,0.14967329512983477,-0.3040045150609527,0.47735564947318543,0.7813601645341381,-0.3842712977764606,0.02555793676439322,0.019902357755808495
Stock return,Simulated,1,1500,0.07898090664834533,0.16713076549514588,0.07843819569885235,0.08053732424830129,0.15982289550326334,-0.5277802173067356,0.7396183990077221,1.2673986163144577,-0.101851407378805,0.46548893541686587,0.004315297809343982
